person_id,survey_resp
932,Favorable
6,Favorable
450,Unfavorable
130,Favorable
48,Favorable
364,Favorable
656,Unfavorable
1133,Unfavorable
1278,Unfavorable
1194,Favorable
574,Unfavorable
292,Favorable
562,Favorable
1271,Unfavorable
1430,Favorable
1022,Unfavorable
1004,Unfavorable
445,Favorable
465,Favorable
1029,Unfavorable
1162,Unfavorable
1435,Unfavorable
600,Unfavorable
1455,Favorable
1061,Favorable
951,Unfavorable
30,Unfavorable
515,Favorable
1396,Favorable
290,Favorable
296,Unfavorable
177,Unfavorable
1104,Unfavorable
620,Unfavorable
293,Unfavorable
593,Favorable
1197,Favorable
404,Favorable
1443,Favorable
1148,Favorable
72,Favorable
200,Unfavorable
706,Favorable
287,Favorable
539,Favorable
1279,Favorable
800,Favorable
478,Unfavorable
1192,Unfavorable
742,Unfavorable
869,Unfavorable
1366,Favorable
1404,Favorable
526,Unfavorable
1028,Favorable
357,Favorable
657,Favorable
1499,Favorable
1473,Favorable
1101,Unfavorable
1482,Favorable
1304,Favorable
476,Favorable
602,Unfavorable
1141,Favorable
382,Favorable
1286,Unfavorable
760,Favorable
1269,Unfavorable
1349,Unfavorable
1410,Unfavorable
1107,Unfavorable
575,Unfavorable
19,Favorable
1259,Favorable
335,Favorable
717,Unfavorable
285,Unfavorable
366,Unfavorable
737,Unfavorable
1331,Unfavorable
1402,Favorable
847,Favorable
254,Unfavorable
1064,Favorable
44,Unfavorable
803,Favorable
867,Favorable
856,Favorable
410,Favorable
715,Unfavorable
1030,Unfavorable
859,Unfavorable
546,Unfavorable
532,Favorable
308,Unfavorable
999,Favorable
1463,Favorable
1434,Unfavorable
986,Unfavorable
322,Favorable
327,Favorable
1249,Favorable
361,Favorable
270,Unfavorable
700,Favorable
1417,Unfavorable
1398,Favorable
1240,Favorable
984,Favorable
809,Favorable
414,Favorable
954,Unfavorable
1139,Unfavorable
1207,Unfavorable
1295,Favorable
871,Unfavorable
273,Favorable
1474,Unfavorable
178,Favorable
1214,Favorable
916,Favorable
180,Favorable
316,Favorable
761,Unfavorable
1024,Favorable
405,Favorable
134,Unfavorable
1009,Unfavorable
985,Favorable
921,Favorable
426,Favorable
85,Unfavorable
613,Unfavorable
1247,Favorable
966,Unfavorable
151,Favorable
963,Unfavorable
138,Unfavorable
637,Unfavorable
1076,Unfavorable
690,Unfavorable
1023,Unfavorable
432,Favorable
661,Favorable
578,Favorable
1251,Favorable
879,Unfavorable
615,Favorable
107,Unfavorable
557,Unfavorable
425,Unfavorable
1450,Favorable
1175,Favorable
534,Unfavorable
239,Favorable
144,Unfavorable
1135,Favorable
1472,Unfavorable
956,Unfavorable
731,Favorable
641,Unfavorable
466,Unfavorable
709,Unfavorable
1052,Favorable
147,Favorable
1405,Favorable
188,Unfavorable
33,Unfavorable
965,Unfavorable
1195,Unfavorable
1182,Unfavorable
2,Unfavorable
186,Favorable
126,Favorable
979,Favorable
1244,Favorable
93,Favorable
749,Favorable
659,Favorable
168,Unfavorable
1370,Favorable
895,Favorable
230,Favorable
599,Favorable
1281,Favorable
274,Favorable
730,Favorable
1338,Unfavorable
1323,Favorable
614,Unfavorable
1383,Favorable
173,Unfavorable
9,Favorable
652,Favorable
1495,Unfavorable
970,Unfavorable
117,Unfavorable
572,Unfavorable
118,Favorable
253,Favorable
150,Favorable
623,Favorable
820,Favorable
244,Favorable
100,Unfavorable
497,Unfavorable
1496,Favorable
1379,Favorable
1427,Favorable
492,Unfavorable
143,Unfavorable
1200,Favorable
278,Favorable
894,Unfavorable
639,Unfavorable
1234,Unfavorable
1361,Unfavorable
63,Unfavorable
422,Unfavorable
802,Unfavorable
1451,Unfavorable
1094,Favorable
393,Favorable
1075,Unfavorable
65,Favorable
1025,Favorable
398,Unfavorable
677,Unfavorable
817,Unfavorable
830,Favorable
403,Favorable
350,Unfavorable
277,Favorable
471,Favorable
137,Unfavorable
79,Unfavorable
1245,Favorable
1321,Favorable
1128,Favorable
1099,Unfavorable
632,Unfavorable
216,Favorable
775,Favorable
125,Unfavorable
1002,Unfavorable
408,Favorable
570,Favorable
142,Favorable
360,Unfavorable
1098,Unfavorable
263,Favorable
314,Favorable
1497,Unfavorable
1260,Favorable
1400,Favorable
1041,Favorable
312,Favorable
337,Favorable
795,Favorable
909,Unfavorable
1134,Unfavorable
1115,Favorable
1303,Favorable
211,Favorable
1395,Unfavorable
247,Favorable
313,Unfavorable
67,Favorable
1265,Favorable
1044,Favorable
305,Unfavorable
790,Favorable
49,Favorable
710,Unfavorable
442,Favorable
1480,Favorable
1034,Favorable
1112,Favorable
69,Favorable
945,Unfavorable
948,Favorable
372,Unfavorable
446,Unfavorable
882,Unfavorable
498,Favorable
488,Favorable
1375,Favorable
1110,Unfavorable
687,Favorable
451,Unfavorable
579,Favorable
507,Unfavorable
359,Favorable
475,Unfavorable
1436,Favorable
1376,Favorable
819,Favorable
915,Unfavorable
50,Unfavorable
618,Favorable
1225,Unfavorable
662,Unfavorable
225,Unfavorable
1274,Favorable
935,Favorable
585,Favorable
406,Unfavorable
1448,Unfavorable
1238,Favorable
8,Unfavorable
1320,Unfavorable
412,Unfavorable
893,Unfavorable
1394,Unfavorable
96,Favorable
299,Favorable
658,Favorable
886,Favorable
1477,Favorable
1255,Unfavorable
166,Unfavorable
793,Favorable
550,Unfavorable
1156,Favorable
162,Favorable
59,Unfavorable
633,Unfavorable
1287,Favorable
691,Unfavorable
807,Unfavorable
992,Favorable
833,Favorable
21,Favorable
1422,Unfavorable
457,Unfavorable
525,Unfavorable
955,Favorable
235,Favorable
937,Unfavorable
1056,Unfavorable
917,Favorable
99,Unfavorable
454,Unfavorable
1489,Unfavorable
279,Favorable
90,Favorable
436,Favorable
39,Unfavorable
1202,Favorable
756,Unfavorable
1329,Unfavorable
1465,Unfavorable
329,Favorable
1414,Favorable
752,Unfavorable
1500,Unfavorable
1310,Favorable
708,Unfavorable
362,Favorable
354,Unfavorable
321,Unfavorable
380,Favorable
332,Favorable
66,Unfavorable
523,Favorable
605,Unfavorable
584,Favorable
1045,Favorable
714,Unfavorable
301,Favorable
1221,Unfavorable
723,Unfavorable
844,Favorable
1078,Favorable
987,Favorable
490,Favorable
1163,Favorable
1270,Favorable
1292,Unfavorable
1347,Unfavorable
1147,Favorable
897,Favorable
105,Favorable
1368,Unfavorable
822,Favorable
435,Unfavorable
799,Unfavorable
259,Unfavorable
500,Unfavorable
358,Unfavorable
944,Favorable
1017,Favorable
413,Unfavorable
395,Unfavorable
1433,Favorable
1352,Favorable
938,Unfavorable
1190,Favorable
821,Unfavorable
384,Unfavorable
315,Unfavorable
1114,Unfavorable
666,Unfavorable
547,Unfavorable
368,Favorable
962,Unfavorable
1171,Unfavorable
1174,Unfavorable
439,Unfavorable
1087,Favorable
112,Unfavorable
257,Unfavorable
86,Favorable
175,Favorable
1419,Favorable
1212,Favorable
1276,Unfavorable
1021,Favorable
1407,Favorable
1313,Favorable
371,Favorable
889,Favorable
561,Favorable
418,Unfavorable
974,Favorable
351,Favorable
236,Favorable
108,Unfavorable
140,Unfavorable
1377,Favorable
911,Favorable
1086,Favorable
629,Unfavorable
914,Unfavorable
870,Favorable
258,Favorable
74,Unfavorable
1011,Unfavorable
729,Favorable
813,Favorable
331,Favorable
101,Unfavorable
209,Unfavorable
367,Favorable
212,Favorable
179,Favorable
98,Unfavorable
998,Favorable
1016,Unfavorable
169,Unfavorable
981,Favorable
828,Unfavorable
1428,Favorable
152,Unfavorable
701,Unfavorable
23,Favorable
1230,Favorable
961,Favorable
494,Favorable
288,Unfavorable
1397,Unfavorable
1476,Favorable
739,Favorable
609,Favorable
1066,Favorable
37,Unfavorable
54,Unfavorable
1226,Unfavorable
720,Favorable
685,Favorable
603,Favorable
697,Favorable
87,Unfavorable
365,Favorable
520,Favorable
779,Favorable
453,Unfavorable
377,Favorable
798,Favorable
1460,Favorable
341,Unfavorable
1233,Unfavorable
595,Unfavorable
780,Unfavorable
1382,Favorable
785,Unfavorable
97,Unfavorable
232,Favorable
430,Unfavorable
1168,Favorable
676,Unfavorable
148,Favorable
612,Favorable
164,Unfavorable
35,Favorable
27,Favorable
645,Unfavorable
818,Favorable
747,Favorable
43,Unfavorable
437,Favorable
387,Favorable
52,Unfavorable
505,Unfavorable
1454,Unfavorable
906,Favorable
1302,Favorable
309,Favorable
281,Unfavorable
1235,Unfavorable
1277,Favorable
